ticker,name,sector,source
EXPE,EXPEDIA GROUP INC,Consumer Discretionary,SP500
EXR,EXTRA SPACE STORAGE REIT INC,Real Estate,SP500
F,FORD MOTOR CO,Consumer Discretionary,SP500
FANG,DIAMONDBACK ENERGY INC,Energy,SP500+NDX
FAST,FASTENAL,Industrials,SP500+NDX
FCX,FREEPORT MCMORAN INC,Materials,SP500
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,SP500
FDX,FEDEX CORP,Industrials,SP500
FE,FIRSTENERGY CORP,Utilities,SP500
FER,,,NDX
FFIV,F5 INC,Information Technology,SP500
FICO,FAIR ISAAC CORP,Information Technology,SP500
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials,SP500
FISV,FISERV INC,Financials,SP500
FITB,FIFTH THIRD BANCORP,Financials,SP500
FIX,COMFORT SYSTEMS USA INC,Industrials,SP500
FOX,FOX CORP CLASS B,Communication,SP500
FOXA,FOX CORP CLASS A,Communication,SP500
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Real Estate,SP500
FSLR,FIRST SOLAR INC,Information Technology,SP500
FTNT,FORTINET INC,Information Technology,SP500+NDX
FTV,FORTIVE CORP,Industrials,SP500
GD,GENERAL DYNAMICS CORP,Industrials,SP500
GDDY,GODADDY INC CLASS A,Information Technology,SP500
GE,GE AEROSPACE,Industrials,SP500
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,SP500+NDX
GEN,GEN DIGITAL INC,Information Technology,SP500
GEV,GE VERNOVA INC,Industrials,SP500
GILD,GILEAD SCIENCES INC,Health Care,SP500+NDX
GIS,GENERAL MILLS INC,Consumer Staples,SP500
GL,GLOBE LIFE INC,Financials,SP500
GLW,CORNING INC,Information Technology,SP500
GM,GENERAL MOTORS,Consumer Discretionary,SP500
GNRC,GENERAC HOLDINGS INC,Industrials,SP500
GOOG,ALPHABET INC CLASS C,Communication,SP500+NDX
GOOGL,ALPHABET INC CLASS A,Communication,SP500+NDX
GPC,GENUINE PARTS,Consumer Discretionary,SP500
GPN,GLOBAL PAYMENTS INC,Financials,SP500
GRMN,GARMIN LTD,Consumer Discretionary,SP500
GS,GOLDMAN SACHS GROUP INC,Financials,SP500
GWW,WW GRAINGER INC,Industrials,SP500
HAL,HALLIBURTON,Energy,SP500
HAS,HASBRO INC,Consumer Discretionary,SP500
HBAN,HUNTINGTON BANCSHARES INC,Financials,SP500
HCA,HCA HEALTHCARE INC,Health Care,SP500
HD,HOME DEPOT INC,Consumer Discretionary,SP500
HIG,HARTFORD INSURANCE GROUP INC,Financials,SP500
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,SP500
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,SP500
HON,HONEYWELL INTERNATIONAL INC,Industrials,SP500+NDX
HOOD,ROBINHOOD MARKETS INC CLASS A,Financials,SP500
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,SP500
HPQ,HP INC,Information Technology,SP500
HRL,HORMEL FOODS CORP,Consumer Staples,SP500
HSIC,HENRY SCHEIN INC,Health Care,SP500
HST,HOST HOTELS & RESORTS REIT INC,Real Estate,SP500
HSY,HERSHEY FOODS,Consumer Staples,SP500
HUBB,HUBBELL INC,Industrials,SP500
HUM,HUMANA INC,Health Care,SP500
HWM,HOWMET AEROSPACE INC,Industrials,SP500
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,Financials,SP500
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,SP500
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,SP500
IDXX,IDEXX LABORATORIES INC,Health Care,SP500+NDX
IEX,IDEX CORP,Industrials,SP500
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials,SP500
INCY,INCYTE CORP,Health Care,SP500
INTC,INTEL CORPORATION CORP,Information Technology,SP500+NDX
INTU,INTUIT INC,Information Technology,SP500+NDX
INVH,INVITATION HOMES INC,Real Estate,SP500
IP,INTERNATIONAL PAPER,Materials,SP500
IQV,IQVIA HOLDINGS INC,Health Care,SP500
IR,INGERSOLL RAND INC,Industrials,SP500
IRM,IRON MOUNTAIN INC,Real Estate,SP500
ISRG,INTUITIVE SURGICAL INC,Health Care,SP500+NDX
IT,GARTNER INC,Information Technology,SP500
ITW,ILLINOIS TOOL INC,Industrials,SP500
IVZ,INVESCO LTD,Financials,SP500
J,JACOBS SOLUTIONS INC,Industrials,SP500
JBHT,JB HUNT TRANSPORT SERVICES INC,Industrials,SP500
JBL,JABIL INC,Information Technology,SP500
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,SP500
JKHY,JACK HENRY AND ASSOCIATES INC,Financials,SP500
JNJ,JOHNSON & JOHNSON,Health Care,SP500
JPM,JPMORGAN CHASE & CO,Financials,SP500
KDP,KEURIG DR PEPPER INC,Consumer Staples,SP500+NDX
KEY,KEYCORP,Financials,SP500
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,SP500
KHC,KRAFT HEINZ,Consumer Staples,SP500+NDX
KIM,KIMCO REALTY REIT CORP,Real Estate,SP500
KKR,KKR AND CO INC,Financials,SP500
KLAC,KLA CORP,Information Technology,SP500+NDX
KMB,KIMBERLY CLARK CORP,Consumer Staples,SP500
KMI,KINDER MORGAN INC,Energy,SP500
KO,COCA-COLA,Consumer Staples,SP500
KR,KROGER,Consumer Staples,SP500
KVUE,KENVUE INC,Consumer Staples,SP500
L,LOEWS CORP,Financials,SP500
LDOS,LEIDOS HOLDINGS INC,Industrials,SP500
LEN,LENNAR A CORP CLASS A,Consumer Discretionary,SP500
